 TICKER,DATE,DATE FORMATTED,SHARES MLN,SHARES
WMT,2003,2003-12-31,4372.0000,4372000000
WMT,2002,2002-12-31,4434.0000,4434000000
WMT,2001,2001-12-31,4481.0000,4481000000
WMT,2000,2000-12-31,4487.0000,4487000000
WMT,1999,1999-12-31,4475.0000,4475000000
WMT,1998,1998-12-31,4492.0000,4492000000
WMT,1997,1997-12-31,4506.0000,4506000000
WMT,1996,1996-12-31,4588.0000,4588000000
WMT,1995,1995-12-31,4592.0000,4592000000
WMT,1994,1994-12-31,4523.8462,4523846200
WMT,1993,1993-12-31,4322.5000,4322500000
WMT,1992,1992-12-31,4378.0000,4378000000
WMT,1991,1991-12-31,4415.0000,4415000000
WMT,1990,1990-12-31,4040.0000,4040000000
WMT,1989,1989-12-31,4654.0000,4654000000
WMT,1988,1988-12-31,4523.7680,4523768000
WMT,1987,1987-12-31,4514.9120,4514912000
WMT,1986,1986-12-31,4510.4000,4510400000
WMT,1985,1985-12-31,4491.4240,4491424000
TSM,2022,2022-12-31,5185.8330,5185833000
TSM,2021,2021-12-31,5186.0761,5186076100
TSM,2020,2020-12-31,5186.0760,5186076000
TSM,2019,2019-12-31,5186.0761,5186076100
TSM,2018,2018-12-31,5186.0761,5186076100
TSM,2017,2017-12-31,5186.0760,5186076000
TSM,2016,2016-12-31,5186.0760,5186076000
TSM,2015,2015-12-31,5186.0760,5186076000
TSM,2014,2014-12-31,5186.0022,5186002200
TSM,2013,2013-12-31,5185.7696,5185769600
TSM,2012,2012-12-31,5185.1898,5185189800
TSM,2011,2011-12-31,5183.5292,5183529200
TSM,2010,2010-12-31,5182.5012,5182501200
TSM,2009,2009-12-31,5180.6930,5180693000
TSM,2008,2008-12-31,5150.7850,5150785000
TSM,2007,2007-12-31,5173.3481,5173348100
TSM,2006,2006-12-31,5215.7691,5215769100
TSM,2005,2005-12-31,5164.2177,5164217700
TSM,2004,2004-12-31,5097.0313,5097031300
TSM,2003,2003-12-31,4557.5276,4557527600
TSM,2002,2002-12-31,5037.6835,5037683500
TSM,2001,2001-12-31,5790.1654,5790165400
TSM,2000,2000-12-31,5198.7453,5198745300
TSM,1999,1999-12-31,4160.1902,4160190200
TSM,1998,1998-12-31,4044.6152,4044615200
TSM,1997,1997-12-31,3963.7270,3963727000
LLY,2022,2022-12-31,903.8000,903800000
LLY,2021,2021-12-31,953.6530,953653000
LLY,2020,2020-12-31,956.5900,956590000
LLY,2019,2019-12-31,957.5260,957526000
LLY,2018,2018-12-31,1057.6390,1057638999.9999999
LLY,2017,2017-12-31,1051.0910,1051090999.9999999
LLY,2016,2016-12-31,1100.8750,1100875000
LLY,2015,2015-12-31,1105.2670,1105267000
LLY,2014,2014-12-31,1110.6270,1110627000
LLY,2013,2013-12-31,1116.7950,1116795000
LLY,2012,2012-12-31,1146.4930,1146493000
LLY,2011,2011-12-31,1115.8830,1115883000
LLY,2010,2010-12-31,1112.0030,1112003000
LLY,2009,2009-12-31,1103.4000,1103400000
LLY,2008,2008-12-31,1097.2000,1097200000
LLY,2007,2007-12-31,1097.2165,1097216500
LLY,2006,2006-12-31,1082.3404,1082340400
LLY,2005,2005-12-31,1084.1558,1084155800
LLY,2004,2004-12-31,1083.2353,1083235300
LLY,2003,2003-12-31,1082.1622,1082162200
LLY,2002,2002-12-31,1071.0526,1071052600
LLY,2001,2001-12-31,1084.8276,1084827600
LLY,2000,2000-12-31,1075.7333,1075733300
LLY,1999,1999-12-31,1083.9744,1083974400
LLY,1998,1998-12-31,1092.1000,1092100000
LLY,1997,1997-12-31,1101.1000,1101100000
LLY,1996,1996-12-31,1100.6000,1100600000
LLY,1995,1995-12-31,1092.6280,1092628000
LLY,1994,1994-12-31,1156.2480,1156248000
LLY,1993,1993-12-31,1177.6000,1177600000
LLY,1992,1992-12-31,1167.3913,1167391300
LLY,1991,1991-12-31,1144.2308,1144230800
LLY,1990,1990-12-31,1116.5217,1116521700
LLY,1989,1989-12-31,1117.8947,1117894700
LLY,1988,1988-12-31,1098.9680,1098968000
LLY,1987,1987-12-31,1114.9520,1114952000
LLY,1986,1986-12-31,1115.9920,1115992000
LLY,1985,1985-12-31,1118.0480,1118048000
PG,2022,2022-12-31,2503.6000,2503600000
PG,2021,2021-12-31,2544.2000,2544200000
PG,2020,2020-12-31,2615.4000,2615400000
PG,2019,2019-12-31,2630.1000,2630100000
PG,2018,2018-12-31,2623.0000,2623000000
PG,2017,2017-12-31,2669.6000,2669600000
PG,2016,2016-12-31,2737.6000,2737600000
PG,2015,2015-12-31,2864.6000,2864600000
PG,2014,2014-12-31,2885.2000,2885200000
PG,2013,2013-12-31,2908.5000,2908500000
PG,2012,2012-12-31,2919.1000,2919100000
PG,2011,2011-12-31,2949.7000,2949700000
PG,2010,2010-12-31,3000.2000,3000200000
PG,2009,2009-12-31,3118.5000,3118500000
PG,2008,2008-12-31,3170.8000,3170800000
PG,2007,2007-12-31,3341.5000,3341500000
PG,2006,2006-12-31,3406.5000,3406500000
PG,2005,2005-12-31,3547.0000,3547000000
PG,2004,2004-12-31,2741.0000,2741000000
PG,2003,2003-12-31,2800.8000,2800800000
PG,2002,2002-12-31,2805.2000,2805200000
PG,2001,2001-12-31,2803.0000,2803000000
PG,2000,2000-12-31,2822.0000,2822000000
PG,1999,1999-12-31,2812.8205,2812820500
PG,1998,1998-12-31,2902.8000,2902800000
PG,1997,1997-12-31,2940.6000,2940600000
PG,1996,1996-12-31,2977.2000,2977200000
PG,1995,1995-12-31,2992.0000,2992000000
PG,1994,1994-12-31,2982.4000,2982400000
PG,1993,1993-12-31,2920.9302,2920930200
PG,1992,1992-12-31,2902.5641,2902564100
PG,1991,1991-12-31,2845.7143,2845714300
PG,1990,1990-12-31,2962.5000,2962500000
PG,1989,1989-12-31,2825.0000,2825000000
PG,1988,1988-12-31,2709.8560,2709856000
PG,1987,1987-12-31,2707.1520,2707152000
PG,1986,1986-12-31,2692.2560,2692256000
PG,1985,1985-12-31,2681.3440,2681344000
NVDA,2022,2022-12-31,2499.0000,2499000000
NVDA,2021,2021-12-31,2538.0000,2538000000
NVDA,2020,2020-12-31,2520.0000,2520000000
NVDA,2019,2019-12-31,2472.0000,2472000000
NVDA,2018,2018-12-31,2500.0000,2500000000
NVDA,2017,2017-12-31,2512.0000,2512000000
NVDA,2016,2016-12-31,2612.0000,2612000000
NVDA,2015,2015-12-31,2260.0000,2260000000
NVDA,2014,2014-12-31,2232.8040,2232804000
NVDA,2013,2013-12-31,2355.0080,2355008000
